DFT_ID,Alloy,R2_cprime,R2_c44,cprime,c44
DFT_0345,Zr15Hf20V15Ta20Mo15W15,0.999993,0.999980,65.32,70.80
DFT_0346,Zr15Hf20V25Nb20Ta20,0.999922,0.999951,43.18,63.00
DFT_0347,Zr20V35Ta15W30,0.999913,0.999946,77.40,65.92
DFT_0348,Zr20V40Nb20Ta20,0.999929,0.999918,53.96,52.43
DFT_0349,Zr20Hf40V5Nb15Ta20,,,,
DFT_0350,Zr25V15Ta15Mo15W30,0.632563,0.999657,-40380.12,67.74
DFT_0351,Zr25Hf25V25Nb15W10,0.999943,0.999934,41.17,60.69
DFT_0352,Zr30V20Nb10Mo20W20,0.999997,0.999610,77.90,55.34
DFT_0353,Zr30Hf20Ta5Mo30W15,0.999997,0.999915,66.80,65.80
DFT_0354,Zr30Hf40V20Nb10,0.999799,0.999942,26.10,67.37
DFT_0355,Zr35V25Nb20Ta20,0.999967,0.999953,42.57,53.55
DFT_0356,Zr40Hf10V20Mo15W15,0.999986,0.999911,54.04,56.25
DFT_0357,Ti5Zr15Hf40V15Ta25,0.999633,0.999984,28.78,76.56
DFT_0358,Ti10Zr10Ta30Mo30W20,0.999931,0.999205,98.46,76.34
DFT_0359,Ti10Zr25V25Ta25W15,0.999977,0.117215,54.19,-17170.25
DFT_0360,Ti10Zr40Hf10Nb20Ta20,0.999972,0.999958,34.17,74.96
DFT_0361,Ti10Zr40Hf25V5Ta10Mo10,0.999942,0.999864,33.69,83.86
DFT_0362,Ti10Zr40Hf40V10,0.997487,0.999935,17.25,74.21
DFT_0363,Ti15Ta40Mo30W15,0.999899,0.999161,99.05,79.95
DFT_0364,Ti15Nb15Ta25Mo25W20,0.999833,0.998913,100.66,75.04
DFT_0365,Ti15V15Nb15Ta15Mo20W20,0.999965,0.999340,96.22,69.37
DFT_0366,Ti15Hf10V10Nb15Mo30W20,0.999981,0.999277,97.27,69.64
DFT_0367,Ti15Zr5Nb20Mo30W30,0.999884,0.998332,115.04,76.46
DFT_0368,Ti15Zr5V25Ta10Mo30W15,0.999986,0.046819,96.85,3106.85
DFT_0369,Ti15Zr10Hf20V20Mo15W20,0.999990,0.999961,64.21,67.29
DFT_0370,Ti15Zr15Hf40V10Ta10W10,0.999975,0.000069,30.58,-10570.70
DFT_0371,Ti15Zr20Hf25V10Nb10Ta20,0.999965,0.999974,29.88,69.67
DFT_0372,Ti15Zr40Hf15Ta20W10,0.154757,0.211746,-242879.42,207703.37
DFT_0373,Ti15Zr40Hf40Nb5,0.995730,0.999991,15.93,76.62
DFT_0374,Ti20Hf40Nb10Ta30,0.999320,0.999276,-6.05,71.46
DFT_0375,Ti20Zr15Hf20V30Mo15,0.000069,0.811547,-5826.99,798175.89
DFT_0376,Ti20Zr20Hf40Ta10Mo10,0.999988,0.999985,27.42,74.78
DFT_0377,Ti20Zr25Hf15V20Nb20,0.999913,0.999955,30.26,57.35
DFT_0378,Ti20Zr35Hf15V5Nb25,0.999844,0.999953,26.37,59.84
DFT_0379,Ti25Ta15Mo30W30,0.999978,0.999335,108.01,84.41
DFT_0380,Ti25Zr10Hf30Nb35,0.999965,0.999944,31.02,65.31
DFT_0381,Ti25Zr15Hf30Nb15Ta15,0.999973,0.999983,26.49,72.71
DFT_0382,Ti25Zr30Hf15V25W5,0.999917,0.999983,25.79,61.77
DFT_0383,Ti25Zr40V10Mo15W10,0.999980,0.999912,42.73,55.23
DFT_0384,Ti25Zr40Hf25Nb10,0.998409,0.999974,16.62,69.90
DFT_0385,Ti30Zr15Hf25V5Ta15W10,0.999983,0.999992,30.09,74.00
DFT_0386,Ti30Zr40V20Mo10,0.999929,0.999973,29.16,53.72
DFT_0387,Ti30Zr40Hf5Ta15W10,0.999962,0.999989,26.77,66.92
DFT_0388,Ti35Zr15Hf25V15W10,0.999981,0.999996,26.83,68.75
DFT_0389,Ti35Zr35Hf10Mo10W10,0.999982,0.999980,31.38,62.93
DFT_0390,Ti40Hf20V10Nb15Ta15,0.999963,0.999996,30.09,68.36
DFT_0391,Ti40Zr10Hf40W10,0.999723,0.999987,20.60,77.56
DFT_0392,Ti40Zr15Hf15Nb15Ta15,0.999951,0.999994,25.39,68.35
DFT_0393,Ti40Zr20Nb35Ta5,0.999895,0.999963,32.35,56.21
DFT_0394,Ti40Zr20V35W5,0.999920,0.999989,32.17,56.76
DFT_0395,Ti40Zr20Hf10Ta20W10,0.169099,0.999995,15359.70,71.83
DFT_0396,Ti40Zr25Ta30Mo5,0.999971,0.999994,29.38,67.92
DFT_0397,Ti40Zr25V20Nb15,0.999887,0.999982,26.99,55.63
DFT_0398,Ti40Zr25Hf25V10,0.998505,0.999974,12.95,70.11
DFT_0399,Ti40Zr40V5Mo15,0.999946,0.999977,27.52,56.10
DFT_0400,Nb5Ta35Mo30W30,0.999828,0.999101,137.51,95.93
DFT_0401,Nb20Ta50Mo15W15,0.999880,0.999719,92.31,72.25
DFT_0402,Nb30Ta35Mo30W5,0.999548,0.996947,100.18,64.35
DFT_0403,Nb35Ta20Mo20W25,0.998833,0.993035,116.80,72.69
DFT_0404,Nb50Ta10Mo30W10,0.999573,0.994291,114.68,62.93
DFT_0405,Nb50Ta30Mo10W10,0.999294,0.999856,86.26,58.18
DFT_0406,V5Nb5Ta30Mo30W30,0.999877,0.999124,138.13,94.84
DFT_0407,V5Nb25Ta25Mo30W15,0.999016,0.993655,116.90,72.05
DFT_0408,V5Nb30Ta35W30,0.999932,0.999671,92.43,71.03
DFT_0409,V5Nb30Ta40Mo15W10,0.999865,0.999917,88.77,64.67
DFT_0410,V15Ta50Mo10W25,0.999746,0.999542,95.25,79.27
DFT_0411,V15Nb10Ta45Mo30,0.999942,0.999333,93.23,65.62
DFT_0412,V15Nb50Ta20Mo5W10,0.999315,0.999725,81.71,53.79
DFT_0413,V20Nb15Ta50W15,0.999768,0.999795,82.36,74.71
DFT_0414,V20Nb25Mo25W30,0.999933,0.998858,137.09,83.31
DFT_0415,V20Nb40Ta25W15,0.999067,0.633219,82.44,-83297.98
DFT_0416,V20Nb45Ta5Mo30,0.999737,0.993227,99.06,49.54
DFT_0417,V20Nb50Mo15W15,0.999728,0.994220,98.13,51.76
DFT_0418,V25Ta30Mo30W15,0.999620,0.998015,112.47,75.69
DFT_0419,V25Nb5Ta20Mo30W20,0.999965,0.997661,123.51,79.49
DFT_0420,V25Nb5Ta40Mo25W5,,,,
DFT_0421,V25Nb20Ta25Mo15W15,0.999941,0.998801,94.32,62.61
DFT_0422,V25Nb25Ta5Mo15W30,0.999445,0.994604,117.63,71.28
DFT_0423,V25Nb50Ta15Mo10,0.999667,0.999376,76.79,46.37
DFT_0424,V30Nb20Ta20W30,0.999958,0.999127,93.79,66.66
DFT_0425,V30Nb20Ta30Mo20,,,,
DFT_0426,V35Ta20Mo15W30,0.999885,0.997322,112.12,76.92
DFT_0427,V35Nb45Ta5Mo5W10,0.999712,0.999891,81.41,46.07
DFT_0428,V40Ta40Mo5W15,,,,
DFT_0429,V40Nb20Mo30W10,0.999468,0.994207,114.87,59.68
DFT_0430,V40Nb35Mo5W20,0.999981,0.997891,91.80,51.17
DFT_0431,Hf5Nb5Ta50Mo25W15,0.999817,0.998722,92.90,76.88
DFT_0432,Hf5V10Nb40Mo30W15,0.999685,0.996417,114.31,65.14
DFT_0433,Hf5V15Nb25Ta20Mo5W30,0.070406,0.474325,60354.67,-156590.71
DFT_0434,Hf5V25Nb15Ta45W10,0.999505,0.999970,70.68,72.15
DFT_0435,Hf5V25Nb25Ta20Mo25,0.999882,0.999634,86.65,55.15
DFT_0436,Hf10Ta40Mo20W30,0.999939,0.999158,91.75,81.87
DFT_0437,Hf10Nb40Ta10Mo15W25,0.999921,0.998678,97.20,67.41
DFT_0438,Hf10Nb40Ta20Mo30,0.999904,0.000067,87.65,-2838.61
DFT_0439,Hf10V10Ta30Mo30W20,0.999882,0.998611,99.17,81.73
DFT_0440,Hf10V10Nb20Mo30W30,0.999981,0.998505,125.11,81.73
DFT_0441,Hf10V20Nb35Mo5W30,0.999994,0.999229,92.09,63.59
DFT_0442,Hf10V25Ta35W30,0.999973,0.999825,76.95,79.70
DFT_0443,Hf10V35Ta25Mo20W10,0.999967,0.999881,86.33,67.23
DFT_0444,Hf10V35Ta50Mo5,0.999811,0.999947,55.35,69.64
DFT_0445,Hf10V40Ta5Mo20W25,0.999913,0.998459,102.55,70.61
DFT_0446,Hf10V40Nb10Mo30W10,0.999956,0.998170,99.27,59.47
DFT_0447,Hf15Nb25Ta20Mo30W10,0.999969,0.811554,92.34,593561.32
DFT_0448,Hf15Nb25Ta25Mo5W30,0.999998,0.168677,86.85,211071.00
DFT_0449,Hf15Nb25Ta45W15,0.999367,0.999942,57.22,72.29
DFT_0450,Hf15Nb35Mo30W20,0.999854,0.998243,105.48,69.33
DFT_0451,Hf15Nb35Ta30Mo10W10,0.000068,0.999959,-4323.38,65.06
DFT_0452,Hf15Nb50Ta15W20,0.168448,0.811554,-207121.90,575162.98
DFT_0453,Hf15Nb50Ta25Mo10,0.999790,0.212261,67.23,-229085.25
DFT_0454,Hf15V5Ta50Mo30,0.999986,0.999872,62.81,66.42
DFT_0455,Hf15V5Nb5Ta25Mo20W30,0.999945,0.999130,99.82,81.80
DFT_0456,Hf15V5Nb50Ta10W20,0.999816,0.999976,75.74,64.87
DFT_0457,Hf15V10Nb15Ta45Mo15,0.999645,0.999980,55.64,66.65
DFT_0458,Hf15V10Nb45Ta15Mo15,0.999923,0.999928,70.45,58.42
DFT_0459,Hf15V15Ta35Mo30W5,0.999976,0.999734,67.86,64.73
DFT_0460,Hf15V20Ta15Mo20W30,0.212566,0.002851,253968.75,37206.30
DFT_0461,Hf15V20Nb15Ta20W30,0.710720,0.999048,-602350.09,105.01
DFT_0462,Hf15V20Nb25Mo20W20,0.999989,0.999156,92.93,63.95
DFT_0463,Hf15V20Nb45W20,0.999895,0.999987,74.94,59.33
DFT_0464,Hf15V25Nb40Mo5W15,0.999915,0.118071,74.64,183906.98
DFT_0465,Hf15V30Nb30Mo25,0.999982,0.999818,78.58,51.01
DFT_0466,Hf15V35Mo20W30,0.999942,0.998801,102.40,73.70
DFT_0467,Hf15V35Nb25Ta20W5,0.118077,0.999931,183176.45,62.29
DFT_0468,Hf15V40Ta25Mo20,0.999857,0.999991,73.77,63.64
DFT_0469,Hf15V40Ta30W15,0.999716,0.999999,55.30,68.82
DFT_0470,Hf15V40Ta35Mo5W5,0.999846,0.999989,50.52,66.00
DFT_0471,Hf15V40Nb30W15,0.999886,0.999982,70.66,56.54
DFT_0472,Hf20Ta30Mo30W20,0.004372,0.179636,-60540.29,-388054.75
DFT_0473,Hf20Ta50Mo15W15,0.999979,0.999855,52.59,68.89
DFT_0474,Hf20V15Ta35Mo10W20,0.999968,0.999861,59.96,75.01
DFT_0475,Hf20V20Nb35Ta25,0.999906,0.999848,54.25,65.56
DFT_0476,Hf20V40Nb20Ta20,0.007052,0.002794,77865.08,-47329.42
DFT_0477,Hf25Nb25Ta25Mo25,0.999912,0.999995,71.32,69.68
DFT_0478,Hf25Nb50Mo15W10,0.999992,0.999975,71.99,62.52
DFT_0479,Hf25V15Ta30Mo30,0.999802,0.999822,42.59,54.91
DFT_0480,Hf25V15Ta50W10,0.999967,0.999905,25.93,61.08
DFT_0481,Hf25V15Nb20Ta20Mo20,0.212299,0.474508,-394876.38,-746738.25
DFT_0482,Hf25V15Nb25Ta20W15,0.999978,0.999981,62.95,72.40
DFT_0483,Hf25V20Nb25W30,0.999929,0.999964,74.93,70.09
DFT_0484,Hf25V30Mo30W15,0.999996,0.999679,87.71,67.95
DFT_0485,Hf25V30Ta15Mo10W20,0.999958,0.086623,73.51,-339418.32
DFT_0486,Hf25V30Nb5Ta5Mo15W20,0.999954,0.999906,78.29,69.33
DFT_0487,Hf25V35Ta10W30,0.067423,0.999965,-236834.11,75.86
DFT_0488,Hf25V40Nb15Mo10W10,0.999972,0.999986,66.09,59.96
DFT_0489,Hf30Ta25Mo15W30,1.000000,0.999910,82.15,86.00
DFT_0490,Hf30Nb15Ta15Mo20W20,0.154909,0.070258,537617.35,341771.31
DFT_0491,Hf30Nb35Ta5W30,0.999935,0.999984,72.40,75.07
DFT_0492,Hf30Nb35Ta5Mo5W25,0.999939,0.999987,72.46,73.20
DFT_0493,Hf30V5Nb5Mo30W30,0.999947,0.999391,97.20,79.80
DFT_0494,Hf30V15Nb30Mo15W10,0.862278,0.999988,58.29,63.81
DFT_0495,Hf35Ta5Mo30W30,0.071150,0.999633,-319292.18,82.82
DFT_0496,Hf35Nb5Ta30Mo25W5,0.999918,0.999947,34.09,64.76
DFT_0497,Hf35Nb25Mo20W20,0.999892,0.999657,33.33,48.37
DFT_0498,Hf35V5Ta45Mo10W5,0.999719,0.999980,20.31,66.84
DFT_0499,Hf35V10Nb45Mo10,0.999977,0.999949,53.30,60.99
DFT_0500,Hf35V20Nb15Ta20Mo5W5,0.999983,0.633592,50.72,936226.35
DFT_0501,Hf35V25Nb5Ta5Mo30,0.999988,0.999973,66.15,63.97
DFT_0502,Hf35V25Nb20Mo20,0.653811,0.794335,-1296146.84,-1428766.72
DFT_0503,Hf35V25Nb30W10,0.999993,0.999976,51.65,64.56
DFT_0504,Hf35V40Ta10W15,,,,
DFT_0505,Hf40Ta30Mo20W10,0.999944,0.999964,25.70,65.51
DFT_0506,Hf40Nb25Ta25W10,0.483245,0.004419,-1163012.54,-101895.11
DFT_0507,Hf40V5Nb5Ta30W20,,,,
DFT_0508,Hf40V5Nb15Mo30W10,,,,
DFT_0509,Hf40V5Nb25Mo30,0.999974,0.999982,64.49,65.23
DFT_0510,Hf40V10Ta20Mo15W15,0.999961,0.999992,62.66,79.64
DFT_0511,Hf40V10Ta25W25,0.999954,0.999953,58.29,85.64
DFT_0512,Hf40V10Nb10Mo10W30,0.999980,0.999955,71.13,77.79
DFT_0513,Hf40V20Mo15W25,0.999985,0.999950,70.20,75.59
DFT_0514,Hf40V20Ta20Mo20,0.999829,0.048447,54.87,-337179.98
DFT_0515,Hf40V20Nb20Ta20,0.999963,0.999993,40.54,71.67
DFT_0516,Zr5Ta50Mo30W15,0.999788,0.998004,103.83,78.18
DFT_0517,Zr5V15Nb50W30,0.999973,0.998436,91.35,55.86
DFT_0518,Zr5V25Nb20Mo30W20,0.999723,0.996305,121.20,69.48
DFT_0519,Zr5V40Mo30W25,0.999970,0.997951,127.45,76.84
DFT_0520,Zr5V40Ta25Mo30,0.999991,0.999172,91.46,57.63
DFT_0521,Zr5V40Nb5Ta20W30,0.999960,0.999822,90.06,68.63
DFT_0522,Zr5Hf5V40Nb25W25,0.999855,0.999908,82.91,57.04
DFT_0523,Zr5Hf10V30Nb50Mo5,0.999935,0.999884,62.76,45.16
DFT_0524,Zr5Hf10V35Nb30Mo20,0.999960,0.999893,74.15,46.95
DFT_0525,Zr5Hf15Nb5Ta50W25,0.999929,0.999969,60.45,80.79
DFT_0526,Zr5Hf15V30Nb30Ta5W15,0.999944,0.999981,66.32,59.40
DFT_0527,Zr5Hf20Ta45W30,0.999973,0.633623,55.99,551328.40
DFT_0528,Zr5Hf20V20Ta50W5,0.999838,0.999981,32.71,70.77
DFT_0529,Zr5Hf25Nb15Ta50W5,0.999666,0.999952,19.47,57.75
DFT_0530,Zr5Hf25Nb20Ta50,0.998704,0.999884,21.46,67.14
DFT_0531,Zr5Hf25Nb25Ta10Mo30W5,0.811543,0.999936,960917.26,65.86
DFT_0532,Zr5Hf25V5Ta35Mo15W15,0.999869,0.999896,47.08,70.74
DFT_0533,Zr5Hf25V5Nb5Mo30W30,0.999950,0.999335,97.40,77.67
DFT_0534,Zr5Hf30Nb30Ta25Mo10,0.074167,0.704700,-330379.33,1079066.82
DFT_0535,Zr5Hf30V40Ta20Mo5,0.177312,0.710737,-714540.63,-1182916.12
DFT_0536,Zr5Hf40Nb40W15,0.999976,0.998673,51.20,71.04
DFT_0537,Zr5Hf40V5Nb5Ta15W30,0.998752,0.004306,1284560.59,90383.81
DFT_0538,Zr5Hf40V40Mo15,0.999980,0.369269,46.66,-919449.61
DFT_0539,Zr10Nb20Ta25Mo20W25,0.999723,0.998037,101.21,71.04
DFT_0540,Zr10Nb20Ta50Mo20,0.999511,0.999964,78.44,67.98
DFT_0541,Zr10V15Nb25Ta50,0.999548,0.999886,61.69,68.31
DFT_0542,Zr10V15Nb30Ta25W20,0.999632,0.999963,78.26,63.82
DFT_0543,Zr10V20Nb40Ta25Mo5,0.999917,0.999847,66.00,54.51
DFT_0544,Zr10V25Nb5Ta25Mo20W15,0.999997,0.999513,90.45,64.58
DFT_0545,Zr10V40Nb35Ta5W10,0.999741,0.999894,70.42,47.46
DFT_0546,Zr10Hf5V5Nb5Ta50W25,0.999950,0.999981,71.14,78.48
DFT_0547,Zr10Hf5V25Nb5Ta50Mo5,0.999929,0.999926,55.79,68.93
DFT_0548,Zr10Hf5V40Nb45,0.212116,0.295052,-82658.42,-130803.24
DFT_0549,Zr10Hf15V25Ta30Mo20,0.387764,0.999988,413439.57,56.05
DFT_0550,Zr10Hf15V40Mo15W20,0.999966,0.999853,78.30,62.29
DFT_0551,Zr10Hf30V25Nb5W30,0.999982,0.999984,61.81,72.01
DFT_0552,Zr10Hf40Nb20Ta15W15,0.639705,0.999728,-1180900.60,715.60
DFT_0553,Zr15Nb5Ta45Mo15W20,0.999950,0.999953,85.56,75.13
DFT_0554,Zr15Nb40Mo15W30,0.999919,0.997884,99.02,62.40
DFT_0555,Zr15Nb40Ta10Mo30W5,0.999962,0.998912,87.29,53.94
DFT_0556,Zr15Nb50Mo25W10,0.999891,0.998489,87.79,51.62
DFT_0557,Zr15V5Nb30Ta20Mo15W15,0.999920,0.999889,82.26,60.43
DFT_0558,Zr15V15Ta30Mo10W30,0.999999,0.999742,89.61,73.68
DFT_0559,Zr15V20Ta20Mo30W15,0.999954,0.998796,96.46,65.91
DFT_0560,Zr15V20Ta45Mo15W5,0.999827,0.999988,73.03,68.42
DFT_0561,Zr15V20Nb20Mo15W30,0.999933,0.998236,97.93,62.96
DFT_0562,Zr15V20Nb25Mo30W10,0.999946,0.997975,93.45,53.55
DFT_0563,Zr15V20Nb45Ta20,0.999950,0.999874,58.36,51.25
DFT_0564,Zr15V20Nb50Mo15,0.999852,0.999904,69.66,40.51
DFT_0565,Zr15V30Nb20Ta35,0.999813,0.999898,57.24,60.36
DFT_0566,Zr15V40Mo30W15,0.999939,0.997943,99.39,58.44
DFT_0567,Zr15V40Ta20Mo10W15,0.999878,0.999969,77.61,60.95
DFT_0568,Zr15V40Nb15W30,0.999927,0.999822,82.54,57.99
DFT_0569,Zr15Hf5Nb45Mo5W30,0.999976,0.999756,83.64,60.91
DFT_0570,Zr15Hf5V25Nb5Mo20W30,0.999961,0.998810,97.57,67.02
DFT_0571,Zr15Hf10V40Mo30W5,0.999988,0.070257,78.54,125568.34
DFT_0572,Zr15Hf15Ta30Mo25W15,0.811557,0.633633,598198.92,417846.68
DFT_0573,Zr15Hf15Nb40Ta20W10,0.999945,0.118089,55.60,165853.12
DFT_0574,Zr15Hf15V10Nb50W10,0.999988,0.999939,55.99,54.79
DFT_0575,Zr15Hf15V15Nb25Mo30,0.999998,0.999853,70.27,52.34
DFT_0576,Zr15Hf15V20Mo25W25,0.474460,0.633443,-468920.10,-428345.75
DFT_0577,Zr15Hf15V20Ta10Mo30W10,0.999982,0.999827,77.96,63.25
DFT_0578,Zr15Hf15V20Ta25W25,0.999958,0.999988,65.06,74.76
DFT_0579,Zr15Hf25Ta20Mo10W30,0.109646,0.168889,-346934.41,340477.67
DFT_0580,Zr15Hf25Nb40Ta20,0.999841,0.999942,42.81,66.58
DFT_0581,Zr15Hf25V15Ta45,0.999600,0.999997,14.80,66.63
DFT_0582,Zr15Hf25V40Nb20,0.999888,0.999902,40.26,55.45
DFT_0583,Zr15Hf30V20Nb25Mo10,0.999961,0.999965,45.55,58.26
DFT_0584,Zr15Hf35V20Mo30,0.999993,0.999958,55.41,61.56
DFT_0585,Zr15Hf40Nb15W30,0.999988,0.999991,54.12,77.53
DFT_0586,Zr15Hf40V15Nb30,0.999936,0.999865,34.85,63.98
DFT_0587,Zr20Ta30Mo20W30,0.999951,0.999352,95.15,75.72
DFT_0588,Zr20Ta40Mo30W10,0.999966,0.999800,85.94,69.80
DFT_0589,Zr20Ta50Mo10W20,0.999872,0.999986,77.50,77.79
DFT_0590,Zr20Nb25Ta40Mo5W10,0.999912,0.999975,66.13,68.57
DFT_0591,Zr20Nb30Ta25Mo25,0.999969,0.999953,73.38,56.84
DFT_0592,Zr20Nb30Ta30W20,0.999891,0.999974,70.61,67.93
DFT_0593,Zr20Nb50Ta10Mo10W10,0.999967,0.999928,69.95,52.83
DFT_0594,Zr20V10Nb15Ta25Mo30,0.999978,0.999876,77.20,57.14
DFT_0595,Zr20V20Ta40Mo20,0.999929,0.999985,68.55,63.63
DFT_0596,Zr20V20Ta50W10,0.999938,0.999968,60.50,73.12
DFT_0597,Zr20V20Nb30Mo30,0.999995,0.999166,78.15,44.59
DFT_0598,Zr20V25Mo25W30,0.999907,0.998597,103.81,64.70
DFT_0599,Zr20V25Nb20Ta20Mo15,0.999941,0.999968,65.19,52.44
DFT_0600,Zr20V25Nb30Mo10W15,0.999955,0.999863,73.75,49.74
DFT_0601,Zr20V35Nb30Mo15,0.999858,0.999892,66.07,40.79
DFT_0602,Zr20V40Nb10Mo30,0.999994,0.999255,78.66,44.04
DFT_0603,Zr20Hf5Ta15Mo30W30,0.999910,0.008534,102.25,-20415.46
DFT_0604,Zr20Hf5V5Nb35Ta5W30,0.999944,0.999955,74.71,62.77
DFT_0605,Zr20Hf10V40Ta15Mo15,0.118104,0.633647,122451.91,283669.11
DFT_0606,Zr20Hf15V5Nb20Mo20W20,0.999991,0.999859,74.91,62.87
DFT_0607,Zr20Hf15V35W30,0.070251,0.429903,178893.44,-469342.17
DFT_0608,Zr20Hf20Ta45Mo15,0.999792,0.999980,31.11,66.96
DFT_0609,Zr20Hf20Nb15Ta30W15,0.999852,0.999980,32.03,66.34
DFT_0610,Zr20Hf20Nb20Ta10W30,0.999974,0.999983,63.51,72.81
DFT_0611,Zr20Hf20Nb40Ta5Mo15,0.999973,0.999950,53.11,56.77
DFT_0612,Zr20Hf20Nb45Mo15,0.999950,0.999943,53.46,54.21
DFT_0613,Zr20Hf20V15Nb25W20,0.999990,0.999977,55.39,62.61
DFT_0614,Zr20Hf20V25Ta25W10,0.255840,0.782743,-451034.54,-779291.95
DFT_0615,Zr20Hf20V40Ta20,0.999876,0.999947,38.16,63.24
DFT_0616,Zr20Hf25Nb15Mo20W20,0.999996,0.999942,67.67,67.48
DFT_0617,Zr20Hf25V30Mo15W10,0.999988,0.999968,54.24,60.65
DFT_0618,Zr20Hf30V40Nb5Ta5,0.999869,0.999966,33.30,61.09
DFT_0619,Zr20Hf35Ta20Mo15W10,0.999510,0.999960,85.41,399.15
DFT_0620,Zr20Hf35V25W20,0.999963,0.999981,44.08,69.57
DFT_0621,Zr20Hf40Mo20W20,0.999992,0.999977,57.49,74.02
DFT_0622,Zr20Hf40Ta25Mo15,0.335143,0.999984,943969.08,76.52
DFT_0623,Zr20Hf40Nb25Mo15,0.999971,0.999931,42.61,65.47
DFT_0624,Zr20Hf40V5Mo30W5,0.999957,0.999964,53.72,67.39
DFT_0625,Zr20Hf40V5Ta5W30,0.999768,0.999990,49.68,79.18
DFT_0626,Zr20Hf40V20Ta10W10,0.999985,0.118041,35.05,439353.91
DFT_0627,Zr25Nb20Ta15Mo10W30,0.999965,0.999821,82.73,66.35
DFT_0628,Zr25Nb50Ta20W5,0.999976,0.999880,54.93,54.88
DFT_0629,Zr25V5Nb50W20,0.999953,0.999944,66.47,52.10
DFT_0630,Zr25V10Nb10Mo30W25,0.999958,0.998617,98.62,64.26
DFT_0631,Zr25V20Ta30W25,0.999936,0.999981,68.82,70.10
DFT_0632,Zr25V20Nb15Ta10W30,0.999936,0.999944,73.53,62.59
DFT_0633,Zr25V20Nb45Ta5Mo5,0.999911,0.999908,55.04,43.51
DFT_0634,Zr25V25Ta20Mo30,0.069645,0.632948,-17033.83,-41110.88
DFT_0635,Zr25V25Nb5Ta15Mo30,0.999986,0.999809,72.97,51.91
DFT_0636,Zr25V40Mo15W20,0.999975,0.999704,78.09,54.60
DFT_0637,Zr25V40Ta30W5,0.999974,0.999970,52.68,61.27
DFT_0638,Zr25V40Nb5Ta5Mo5W20,0.999927,0.999932,69.51,55.42
DFT_0639,Zr25Hf10V35Nb5W25,0.999972,0.999946,61.44,60.26
DFT_0640,Zr25Hf15Nb5Ta45Mo10,0.999868,0.999968,32.12,66.75
DFT_0641,Zr25Hf15Nb30W30,0.999985,0.999969,63.63,65.80
DFT_0642,Zr25Hf15V10Nb35Ta15,0.067420,0.062531,-123441.66,143235.76
DFT_0643,Zr25Hf25Ta35W15,0.999735,0.999981,20.56,68.70
DFT_0644,Zr25Hf25Nb20Mo30,0.999949,0.999930,56.83,58.32
DFT_0645,Zr25Hf25V15Ta15Mo20,0.999980,0.999975,47.63,63.79
DFT_0646,Zr25Hf35Nb25W15,0.999976,0.999946,41.73,69.31
DFT_0647,Zr25Hf35Nb25Mo5W10,0.999976,0.999943,41.91,67.26
DFT_0648,Zr30Nb15Ta15Mo25W15,0.999996,0.999794,77.98,60.71
DFT_0649,Zr30Nb20Mo30W20,0.999989,0.999160,88.19,59.25
DFT_0650,Zr30V5Ta40Mo10W15,0.999961,0.999983,64.83,70.58
DFT_0651,Zr30V5Nb5Ta25Mo30W5,0.999988,0.999887,72.94,60.19
DFT_0652,Zr30V5Nb35Ta5Mo25,0.999960,0.999796,65.75,46.64
DFT_0653,Zr30V15Nb20Ta25W10,0.281330,0.810158,37025.89,53940.97
DFT_0654,Zr30V20Ta20Mo15W15,0.999960,0.000088,68.64,559.42
DFT_0655,Zr30V25Nb30W15,0.999951,0.999914,58.27,49.18
DFT_0656,Zr30V40Nb15Mo10W5,0.999938,0.999756,58.17,44.44
DFT_0657,Zr30Hf5V5Nb10Ta30W20,0.999974,0.999985,52.82,68.03
DFT_0658,Zr30Hf10V20Nb20Mo20,0.999967,0.999896,54.77,48.42
DFT_0659,Zr30Hf15V15Mo10W30,0.999994,0.999918,65.72,66.00
DFT_0660,Zr30Hf20Ta20Mo30,0.710809,0.633615,726044.97,510962.54
DFT_0661,Zr30Hf20V15Nb10Ta25,0.212316,0.295129,-289059.65,-457228.56
DFT_0662,Zr30Hf20V20Nb30,0.999812,0.999820,35.95,54.43
DFT_0663,Zr30Hf25V10Nb25Ta5W5,0.999888,0.999893,36.77,61.82
DFT_0664,Zr30Hf25V20Ta25,0.062386,0.999948,-250619.71,68.65
DFT_0665,Zr30Hf30Nb5Ta5Mo25W5,0.999988,0.999965,50.14,65.29
DFT_0666,Zr30Hf30V10Ta5Mo5W20,0.999975,0.999979,45.37,70.45
DFT_0667,Zr30Hf40Ta15W15,0.067448,0.999977,-315312.35,78.80
DFT_0668,Zr30Hf40V15Mo15,0.999982,0.999941,34.56,65.43
DFT_0669,Zr35Ta50Mo5W10,0.999920,0.999981,53.59,73.00
DFT_0670,Zr35Nb50Mo10W5,0.999841,0.999829,55.53,45.46
DFT_0671,Zr35V5Ta25Mo5W30,0.999983,0.999962,68.98,70.33
DFT_0672,Zr35V10Nb30Ta25,0.999903,0.999940,43.23,55.81
DFT_0673,Zr35V15Nb25Ta5Mo5W15,0.999975,0.999920,57.96,52.53
DFT_0674,Zr35Hf5Nb30Ta5W25,0.999905,0.999950,59.11,60.60
DFT_0675,Zr35Hf10Nb20Ta20Mo15,0.999971,0.999961,47.95,59.25
DFT_0676,Zr35Hf10Nb40Mo5W10,0.999943,0.999940,49.30,53.68
