DFT_ID,Alloy,SWS0,B0,C11,C12,C44,cprime,B,G_V,G_R,G_VRH,E,nu,B_G_ratio,Cauchy,A,Hv,R2_cprime,R2_c44,n_drop_cprime,n_drop_c44,born_stable
DFT_0447,Hf15Nb25Ta20Mo30W10,3.048016,185.38,308.51,123.82,64.86,92.34,185.38,75.86,73.63,74.74,197.66,0.3223,2.4803,58.95,0.7024,5.62,0.999969,0.999998,0,2,Y
DFT_0449,Hf15Nb25Ta45W15,3.092170,177.34,253.63,139.19,72.29,57.22,177.34,66.26,65.40,65.83,175.75,0.3348,2.6938,66.90,1.2634,4.27,0.999367,0.999942,0,0,Y
DFT_0450,Hf15Nb35Mo30W20,3.032033,192.93,333.58,122.61,69.33,105.48,192.93,83.79,80.34,82.07,215.63,0.3137,2.3509,53.28,0.6572,6.69,0.999854,0.998243,0,0,Y
DFT_0451,Hf15Nb35Ta30Mo10W10,3.080110,178.34,259.72,137.65,65.06,61.03,178.34,63.45,63.39,63.42,170.09,0.3410,2.8121,72.59,1.0660,3.76,0.999866,0.999959,1,0,Y
DFT_0452,Hf15Nb50Ta15W20,3.079690,179.49,280.88,128.80,68.26,76.04,179.49,71.37,71.17,71.27,188.82,0.3247,2.5184,60.54,0.8976,5.24,0.999744,0.999966,1,2,Y
DFT_0453,Hf15Nb50Ta25Mo10,3.094657,168.72,258.36,123.90,64.53,67.23,168.72,65.61,65.58,65.60,174.21,0.3279,2.5721,59.37,0.9598,4.65,0.999790,0.999850,0,1,Y
DFT_0454,Hf15V5Ta50Mo30,3.087012,153.28,237.03,111.41,66.42,62.81,153.28,64.98,64.93,64.95,170.74,0.3143,2.3598,44.98,1.0575,5.42,0.999986,0.999872,0,0,Y
DFT_0455,Hf15V5Nb5Ta25Mo20W30,3.028021,210.45,343.54,143.91,81.80,99.82,210.45,89.01,88.17,88.59,233.06,0.3154,2.3756,62.10,0.8196,7.01,0.999945,0.999130,0,0,Y
DFT_0456,Hf15V5Nb50Ta10W20,3.068599,177.37,278.36,126.87,64.87,75.74,177.37,69.22,68.82,69.02,183.29,0.3278,2.5698,62.01,0.8564,4.89,0.999816,0.999976,0,0,Y
DFT_0457,Hf15V10Nb15Ta45Mo15,3.068552,170.13,244.31,133.04,66.65,55.64,170.13,62.24,61.76,62.00,165.86,0.3375,2.7440,66.39,1.1979,3.87,0.999645,0.999980,0,0,Y
DFT_0458,Hf15V10Nb45Ta15Mo15,3.062760,167.43,261.36,120.46,58.42,70.45,167.43,63.23,62.70,62.97,167.86,0.3329,2.6589,62.04,0.8293,4.19,0.999923,0.999928,0,0,Y
DFT_0459,Hf15V15Ta35Mo30W5,3.054449,155.21,245.68,109.97,64.73,67.86,155.21,65.98,65.95,65.96,173.34,0.3139,2.3530,45.24,0.9540,5.52,0.999976,0.999734,0,0,Y
DFT_0462,Hf15V20Nb25Mo20W20,3.001594,185.46,309.37,123.50,63.95,92.93,185.46,75.54,73.06,74.30,196.65,0.3233,2.4960,59.56,0.6881,5.53,0.999989,0.999156,0,0,Y
DFT_0463,Hf15V20Nb45W20,3.033556,172.36,272.28,122.40,59.33,74.94,172.36,65.58,64.73,65.15,173.58,0.3322,2.6456,63.07,0.7918,4.38,0.999895,0.999987,0,0,Y
DFT_0464,Hf15V25Nb40Mo5W15,3.020209,170.14,269.66,120.38,56.98,74.64,170.14,64.05,62.94,63.49,169.40,0.3341,2.6797,63.40,0.7635,4.16,0.999915,0.999985,0,1,Y
DFT_0465,Hf15V30Nb30Mo25,2.994016,169.36,274.13,116.97,51.01,78.58,169.36,62.04,59.34,60.69,162.64,0.3399,2.7906,65.96,0.6492,3.65,0.999982,0.999818,0,0,Y
DFT_0466,Hf15V35Mo20W30,2.953004,202.29,338.83,134.02,73.70,102.40,202.29,85.18,83.00,84.09,221.57,0.3174,2.4056,60.32,0.7197,6.57,0.999942,0.998801,0,0,Y
DFT_0467,Hf15V35Nb25Ta20W5,3.023953,159.94,242.27,118.77,62.29,61.75,159.94,62.07,62.07,62.07,164.89,0.3282,2.5767,56.49,1.0087,4.39,0.999945,0.999931,1,0,Y
DFT_0468,Hf15V40Ta25Mo20,2.984155,169.28,267.64,120.10,63.64,73.77,169.28,67.69,67.34,67.51,178.78,0.3240,2.5073,56.46,0.8627,5.02,0.999857,0.999991,0,0,Y
DFT_0469,Hf15V40Ta30W15,3.000147,171.77,245.50,134.90,68.82,55.30,171.77,63.41,62.69,63.05,168.53,0.3365,2.7244,66.09,1.2444,3.99,0.999716,0.999999,0,0,Y
DFT_0470,Hf15V40Ta35Mo5W5,3.006435,165.93,233.30,132.25,66.00,50.52,165.93,59.81,58.80,59.31,158.98,0.3403,2.7979,66.24,1.3064,3.54,0.999846,0.999989,0,0,Y
DFT_0471,Hf15V40Nb30W15,2.991283,165.51,259.72,118.41,56.54,70.66,165.51,62.19,61.45,61.82,164.93,0.3339,2.6772,61.86,0.8003,4.05,0.999886,0.999982,0,0,Y
DFT_0473,Hf20Ta50Mo15W15,3.121625,147.78,217.90,112.72,68.89,52.59,147.78,62.37,61.29,61.83,162.79,0.3164,2.3901,43.83,1.3099,5.06,0.999979,0.999855,0,0,Y
DFT_0474,Hf20V15Ta35Mo10W20,3.045801,185.40,265.35,145.42,75.01,59.96,185.40,68.99,68.17,68.58,183.15,0.3354,2.7035,70.42,1.2509,4.41,0.999968,0.999861,0,0,Y
DFT_0475,Hf20V20Nb35Ta25,3.078271,155.26,227.59,119.09,65.56,54.25,155.26,61.03,60.51,60.77,161.27,0.3269,2.5548,53.54,1.2085,4.38,0.999906,0.999848,0,0,Y
DFT_0477,Hf25Nb25Ta25Mo25,3.086842,173.29,268.38,125.75,69.68,71.32,173.29,70.34,70.33,70.33,185.85,0.3212,2.4639,56.06,0.9771,5.38,0.999912,0.999995,0,0,Y
DFT_0478,Hf25Nb50Mo15W10,3.084874,171.75,267.74,123.75,62.52,71.99,171.75,66.31,65.99,66.15,175.88,0.3293,2.5963,61.23,0.8684,4.61,0.999992,0.999975,0,0,Y
DFT_0479,Hf25V15Ta30Mo30,3.106175,126.38,183.16,97.99,54.91,42.59,126.38,49.98,49.21,49.60,131.58,0.3265,2.5482,43.08,1.2894,3.57,0.999802,0.999822,0,0,Y
DFT_0480,Hf25V15Ta50W10,3.149496,121.63,156.21,104.34,61.08,25.93,121.63,47.02,39.61,43.31,116.15,0.3408,2.8081,43.26,2.3552,2.42,0.999967,0.999905,0,0,Y
DFT_0481,Hf25V15Nb20Ta20Mo20,3.062493,168.63,256.53,124.68,66.07,65.93,168.63,66.02,66.02,66.02,175.19,0.3269,2.5544,58.60,1.0022,4.74,0.999912,0.999989,1,2,Y
DFT_0482,Hf25V15Nb25Ta20W15,3.074372,168.97,252.90,127.01,72.40,62.95,168.97,68.62,68.30,68.46,180.94,0.3215,2.4682,54.61,1.1502,5.23,0.999978,0.999981,0,0,Y
DFT_0483,Hf25V20Nb25W30,3.038134,176.06,275.96,126.11,70.09,74.93,176.06,72.03,71.95,71.99,190.06,0.3201,2.4457,56.02,0.9354,5.57,0.999929,0.999964,0,0,Y
DFT_0484,Hf25V30Mo30W15,2.985057,182.38,299.33,123.90,67.95,87.71,182.38,75.86,74.68,75.27,198.50,0.3186,2.4230,55.95,0.7747,5.90,0.999996,0.999679,0,0,Y
DFT_0486,Hf25V30Nb5Ta5Mo15W20,3.004497,175.84,280.22,123.65,69.33,78.29,175.84,72.91,72.65,72.78,191.88,0.3181,2.4159,54.32,0.8856,5.75,0.999954,0.999906,0,0,Y
DFT_0487,Hf25V35Ta10W30,3.005484,177.30,275.19,128.35,75.86,73.42,177.30,74.88,74.86,74.87,196.90,0.3149,2.3680,52.49,1.0332,6.11,0.999971,0.999965,1,0,Y
DFT_0488,Hf25V40Nb15Mo10W10,2.999792,162.05,250.17,117.99,59.96,66.09,162.05,62.41,62.27,62.34,165.77,0.3295,2.5994,58.03,0.9072,4.34,0.999972,0.999986,0,0,Y
DFT_0489,Hf30Ta25Mo15W30,3.070769,194.12,303.66,139.35,86.00,82.15,194.12,84.46,84.42,84.44,221.24,0.3101,2.2989,53.35,1.0468,7.12,1.000000,0.999910,0,0,Y
DFT_0491,Hf30Nb35Ta5W30,3.090591,210.57,307.11,162.30,75.07,72.40,210.57,74.00,73.98,73.99,198.70,0.3427,2.8459,87.23,1.0368,4.30,0.999935,0.999984,0,0,Y
DFT_0492,Hf30Nb35Ta5Mo5W25,3.089077,177.70,274.32,129.39,73.20,72.46,177.70,72.91,72.91,72.91,192.41,0.3195,2.4374,56.19,1.0102,5.67,0.999939,0.999987,0,0,Y
DFT_0493,Hf30V5Nb5Mo30W30,3.033605,197.77,327.36,132.97,79.80,97.20,197.77,86.76,85.95,86.35,226.15,0.3094,2.2902,53.18,0.8210,7.30,0.999947,0.999391,0,0,Y
DFT_0494,Hf30V15Nb30Mo15W10,3.061185,166.03,243.75,127.17,63.81,58.29,166.03,61.60,61.48,61.54,164.32,0.3351,2.6979,63.36,1.0947,3.97,0.862278,0.999988,0,0,Y
DFT_0495,Hf35Ta5Mo30W30,3.053057,197.48,320.09,136.17,82.82,91.96,197.48,86.48,86.25,86.36,226.13,0.3092,2.2866,53.35,0.9006,7.32,0.999993,0.999633,1,0,Y
DFT_0496,Hf35Nb5Ta30Mo25W5,3.097185,268.17,313.63,245.44,64.76,34.09,268.17,52.49,47.62,50.06,141.38,0.4121,5.3571,180.68,1.8994,-0.23,0.999918,0.999947,0,0,Y
DFT_0497,Hf35Nb25Mo20W20,3.172577,108.23,152.67,86.01,48.37,33.33,108.23,42.35,40.97,41.66,110.77,0.3294,2.5978,37.64,1.4514,2.80,0.999892,0.999657,0,0,Y
DFT_0498,Hf35V5Ta45Mo10W5,3.114928,176.00,203.08,162.46,66.84,20.31,176.00,48.23,34.88,41.55,115.56,0.3906,4.2355,95.62,3.2912,0.27,0.999719,0.999980,0,0,Y
DFT_0499,Hf35V10Nb45Mo10,3.104302,153.95,225.02,118.41,60.99,53.30,153.95,57.91,57.66,57.79,154.09,0.3332,2.6640,57.43,1.1441,3.82,0.999977,0.999949,0,0,Y
DFT_0500,Hf35V20Nb15Ta20Mo5W5,3.087415,158.93,226.55,125.12,72.71,50.72,158.93,63.92,61.96,62.94,166.80,0.3251,2.5251,52.40,1.4337,4.63,0.999983,0.999988,0,1,Y
DFT_0501,Hf35V25Nb5Ta5Mo30,3.036515,163.12,251.32,119.02,63.97,66.15,163.12,64.84,64.82,64.83,171.74,0.3245,2.5161,55.05,0.9670,4.80,0.999988,0.999973,0,0,Y
DFT_0503,Hf35V25Nb30W10,3.073330,154.39,223.26,119.96,64.56,51.65,154.39,59.40,58.69,59.05,157.11,0.3304,2.6148,55.39,1.2499,4.06,0.999993,0.999976,0,0,Y
DFT_0505,Hf40Ta30Mo20W10,3.106791,176.34,210.60,159.21,65.51,25.70,176.34,49.58,40.44,45.01,124.45,0.3824,3.9174,93.70,2.5493,0.75,0.999944,0.999964,0,0,Y
DFT_0509,Hf40V5Nb25Mo30,3.089679,165.81,251.79,122.82,65.23,64.49,165.81,64.94,64.93,64.93,172.31,0.3268,2.5535,57.58,1.0116,4.67,0.999974,0.999982,0,0,Y
DFT_0510,Hf40V10Ta20Mo15W15,3.085981,173.51,257.06,131.74,79.64,62.66,173.51,72.85,71.85,72.35,190.56,0.3170,2.3982,52.10,1.2710,5.80,0.999961,0.999992,0,0,Y
DFT_0511,Hf40V10Ta25W25,3.097107,174.37,252.09,135.51,85.64,58.29,174.37,74.70,72.11,73.40,193.11,0.3154,2.3755,49.87,1.4691,5.97,0.999954,0.999953,0,0,Y
DFT_0512,Hf40V10Nb10Mo10W30,3.069839,178.24,273.08,130.82,77.79,71.13,178.24,75.12,74.98,75.05,197.45,0.3154,2.3749,53.03,1.0935,6.09,0.999980,0.999955,0,0,Y
DFT_0513,Hf40V20Mo15W25,3.046717,174.63,268.23,127.83,75.59,70.20,174.63,73.44,73.34,73.39,193.11,0.3157,2.3795,52.23,1.0768,5.95,0.999985,0.999950,0,0,Y
DFT_0515,Hf40V20Nb20Ta20,3.112883,154.49,208.55,127.46,71.67,40.54,154.49,59.22,54.83,57.02,152.33,0.3357,2.7092,55.79,1.7677,3.64,0.999963,0.999993,0,0,Y
DFT_0516,Zr5Ta50Mo30W15,3.030928,214.28,352.72,145.06,78.18,103.83,214.28,88.44,86.75,87.60,231.28,0.3201,2.4462,66.88,0.7529,6.61,0.999788,0.998004,0,0,Y
DFT_0517,Zr5V15Nb50W30,3.014512,187.73,309.52,126.83,55.86,91.35,187.73,70.05,66.13,68.09,182.24,0.3382,2.7570,70.98,0.6115,4.21,0.999973,0.998436,0,0,Y
DFT_0518,Zr5V25Nb20Mo30W20,2.957782,201.97,363.57,121.17,69.48,121.20,201.97,90.17,83.78,86.97,228.16,0.3117,2.3223,51.69,0.5732,7.17,0.999723,0.996305,0,0,Y
DFT_0519,Zr5V40Mo30W25,2.913257,218.38,388.32,133.41,76.84,127.45,218.38,97.08,91.35,94.22,247.11,0.3114,2.3179,56.57,0.6029,7.68,0.999970,0.997951,0,0,Y
DFT_0520,Zr5V40Ta25Mo30,2.948884,183.86,305.80,122.89,57.63,91.46,183.86,71.16,67.64,69.40,184.93,0.3324,2.6494,65.26,0.6301,4.64,0.999991,0.999172,0,0,Y
DFT_0521,Zr5V40Nb5Ta20W30,2.960377,195.76,315.84,135.72,68.63,90.06,195.76,77.20,75.85,76.53,203.11,0.3271,2.5581,67.09,0.7621,5.43,0.999960,0.999822,0,0,Y
DFT_0522,Zr5Hf5V40Nb25W25,2.968877,178.69,289.23,123.42,57.04,82.91,178.69,67.39,65.17,66.28,176.96,0.3349,2.6960,66.38,0.6880,4.29,0.999855,0.999908,0,0,Y
DFT_0523,Zr5Hf10V30Nb50Mo5,3.029897,148.88,232.56,107.04,45.16,62.76,148.88,52.20,50.86,51.53,138.60,0.3448,2.8892,61.88,0.7195,2.80,0.999935,0.999884,0,0,Y
DFT_0524,Zr5Hf10V35Nb30Mo20,2.989713,162.04,260.90,112.61,46.95,74.15,162.04,57.83,55.02,56.42,151.67,0.3440,2.8719,65.66,0.6332,3.16,0.999960,0.999893,0,0,Y
DFT_0525,Zr5Hf15Nb5Ta50W25,3.088917,184.58,265.18,144.28,80.79,60.45,184.58,72.66,71.21,71.93,190.98,0.3276,2.5661,63.49,1.3366,5.10,0.999929,0.999969,0,0,Y
DFT_0526,Zr5Hf15V30Nb30Ta5W15,3.028102,161.49,249.91,117.28,59.40,66.32,161.49,62.17,61.99,62.08,165.08,0.3296,2.6014,57.87,0.8958,4.31,0.999944,0.999981,0,0,Y
DFT_0527,Zr5Hf20Ta45W30,3.089542,185.29,259.95,147.96,80.51,55.99,185.29,70.70,68.51,69.61,185.58,0.3331,2.6620,67.46,1.4377,4.61,0.999973,0.999940,0,1,Y
DFT_0528,Zr5Hf20V20Ta50W5,3.084697,162.81,206.42,141.00,70.77,32.71,162.81,55.54,48.29,51.92,140.79,0.3559,3.1360,70.24,2.1635,2.29,0.999838,0.999981,0,0,Y
DFT_0529,Zr5Hf25Nb15Ta50W5,3.202739,114.87,140.83,101.89,57.75,19.47,114.87,42.44,32.33,37.38,101.17,0.3532,3.0729,44.14,2.9662,1.47,0.999666,0.999952,0,0,Y
DFT_0530,Zr5Hf25Nb20Ta50,3.142006,160.04,188.65,145.74,67.14,21.46,160.04,48.87,36.26,42.56,117.29,0.3779,3.7600,78.59,3.1291,0.81,0.998704,0.999884,0,0,Y
DFT_0531,Zr5Hf25Nb25Ta10Mo30W5,3.078740,172.78,274.26,122.04,65.86,76.11,172.78,69.96,69.61,69.78,184.51,0.3220,2.4759,56.18,0.8653,5.30,0.999990,0.999936,2,0,Y
DFT_0532,Zr5Hf25V5Ta35Mo15W15,3.083167,177.83,240.60,146.44,70.74,47.08,177.83,61.28,58.90,60.09,162.02,0.3482,2.9595,75.70,1.5025,3.17,0.999869,0.999896,0,0,Y
DFT_0533,Zr5Hf25V5Nb5Mo30W30,3.034208,194.57,324.44,129.63,77.67,97.40,194.57,85.56,84.52,85.04,222.67,0.3093,2.2880,51.97,0.7973,7.22,0.999950,0.999335,0,0,Y
DFT_0536,Zr5Hf40Nb40W15,3.137073,159.91,228.17,125.78,71.04,51.20,159.91,63.10,61.50,62.30,165.42,0.3276,2.5667,54.74,1.3875,4.44,0.999976,0.998673,0,0,Y
DFT_0538,Zr5Hf40V40Mo15,3.043788,144.76,206.98,113.65,62.43,46.66,144.76,56.12,54.99,55.56,147.77,0.3299,2.6056,51.23,1.3378,3.84,0.999980,0.999993,0,1,Y
DFT_0539,Zr10Nb20Ta25Mo20W25,3.038193,197.72,332.67,130.24,71.04,101.21,197.72,83.11,80.65,81.88,215.85,0.3181,2.4147,59.21,0.7018,6.38,0.999723,0.998037,0,0,Y
DFT_0540,Zr10Nb20Ta50Mo20,3.074169,177.55,282.13,125.26,67.98,78.44,177.55,72.16,71.81,71.98,190.24,0.3214,2.4666,57.28,0.8667,5.49,0.999511,0.999964,0,0,Y
DFT_0541,Zr10V15Nb25Ta50,3.076949,164.44,246.69,123.32,68.31,61.69,164.44,65.66,65.49,65.58,173.65,0.3240,2.5076,55.01,1.1073,4.88,0.999548,0.999886,0,0,Y
DFT_0542,Zr10V15Nb30Ta25W20,3.042212,177.33,281.68,125.16,63.82,78.26,177.33,69.60,68.91,69.25,183.83,0.3272,2.5606,61.33,0.8155,4.94,0.999632,0.999963,0,0,Y
DFT_0543,Zr10V20Nb40Ta25Mo5,3.051664,155.90,243.90,111.90,54.51,66.00,155.90,59.11,58.59,58.85,156.81,0.3324,2.6492,57.39,0.8260,3.94,0.999917,0.999847,0,0,Y
DFT_0544,Zr10V25Nb5Ta25Mo20W15,2.993936,184.98,305.58,124.68,64.58,90.45,184.98,74.93,72.92,73.92,195.70,0.3237,2.5023,60.10,0.7140,5.48,0.999997,0.999513,0,0,Y
DFT_0545,Zr10V40Nb35Ta5W10,2.990014,158.75,252.65,111.80,47.46,70.42,158.75,56.64,54.58,55.61,149.39,0.3432,2.8547,64.34,0.6739,3.15,0.999741,0.999894,0,0,Y
DFT_0546,Zr10Hf5V5Nb5Ta50W25,3.080190,173.98,268.83,126.56,78.48,71.14,173.98,75.54,75.37,75.46,197.77,0.3105,2.3057,48.08,1.1033,6.44,0.999950,0.999981,0,0,Y
DFT_0547,Zr10Hf5V25Nb5Ta50Mo5,3.054944,161.35,235.74,124.15,68.93,55.79,161.35,63.68,63.00,63.34,168.03,0.3264,2.5474,55.22,1.2355,4.58,0.999929,0.999926,0,0,Y
DFT_0549,Zr10Hf15V25Ta30Mo20,3.077383,133.39,194.72,102.73,56.05,46.00,133.39,52.03,51.54,51.78,137.55,0.3281,2.5759,46.68,1.2185,3.65,0.999998,0.999988,2,0,Y
DFT_0550,Zr10Hf15V40Mo15W20,2.978230,170.68,275.08,118.48,62.29,78.30,170.68,68.69,67.84,68.27,180.71,0.3235,2.5002,56.19,0.7956,5.10,0.999966,0.999853,0,0,Y
DFT_0551,Zr10Hf30V25Nb5W30,3.054930,164.52,246.93,123.31,72.01,61.81,164.52,67.93,67.55,67.74,178.70,0.3190,2.4286,51.30,1.1651,5.34,0.999982,0.999984,0,0,Y
DFT_0553,Zr15Nb5Ta45Mo15W20,3.064142,186.33,300.41,129.29,75.13,85.56,186.33,79.30,78.98,79.14,207.98,0.3140,2.3544,54.16,0.8781,6.47,0.999950,0.999953,0,0,Y
DFT_0554,Zr15Nb40Mo15W30,3.042741,187.72,319.74,121.71,62.40,99.02,187.72,77.05,73.24,75.14,198.89,0.3234,2.4982,59.30,0.6302,5.57,0.999919,0.997884,0,0,Y
DFT_0555,Zr15Nb40Ta10Mo30W5,3.054071,174.92,291.31,116.72,53.94,87.29,174.92,67.28,63.67,65.48,174.64,0.3336,2.6715,62.78,0.6179,4.31,0.999962,0.998912,0,0,Y
DFT_0556,Zr15Nb50Mo25W10,3.053403,174.06,291.11,115.53,51.62,87.79,174.06,66.09,61.81,63.95,170.92,0.3363,2.7218,63.91,0.5880,4.06,0.999891,0.998489,0,0,Y
DFT_0557,Zr15V5Nb30Ta20Mo15W15,3.055407,176.00,285.68,121.16,60.43,82.26,176.00,69.16,67.61,68.38,181.63,0.3280,2.5737,60.73,0.7346,4.84,0.999920,0.999889,0,0,Y
DFT_0558,Zr15V15Ta30Mo10W30,3.024294,190.56,310.04,130.82,73.68,89.61,190.56,80.05,79.32,79.68,209.80,0.3165,2.3915,57.15,0.8222,6.34,0.999999,0.999742,0,0,Y
DFT_0559,Zr15V20Ta20Mo30W15,2.998049,186.32,314.93,122.02,65.91,96.46,186.32,78.13,75.47,76.80,202.57,0.3188,2.4261,56.11,0.6833,5.99,0.999954,0.998796,0,0,Y
DFT_0560,Zr15V20Ta45Mo15W5,3.041121,168.66,266.04,119.97,68.42,73.03,168.66,70.27,70.19,70.23,185.01,0.3172,2.4015,51.55,0.9368,5.63,0.999827,0.999988,0,0,Y
DFT_0561,Zr15V20Nb20Mo15W30,2.997989,187.45,318.03,122.16,62.96,97.93,187.45,76.95,73.46,75.20,199.00,0.3231,2.4926,59.20,0.6429,5.60,0.999933,0.998236,0,0,Y
DFT_0562,Zr15V20Nb25Mo30W10,2.998731,176.42,301.02,114.12,53.55,93.45,176.42,69.51,64.58,67.04,178.52,0.3314,2.6314,60.57,0.5730,4.55,0.999946,0.997975,0,0,Y
DFT_0563,Zr15V20Nb45Ta20,3.070294,147.40,225.21,108.49,51.25,58.36,147.40,54.10,53.88,53.99,144.34,0.3368,2.7303,57.24,0.8783,3.37,0.999950,0.999874,0,0,Y
DFT_0564,Zr15V20Nb50Mo15,3.037668,151.86,244.73,105.42,40.51,69.66,151.86,52.17,48.65,50.41,136.17,0.3506,3.0124,64.91,0.5816,2.45,0.999852,0.999904,0,0,Y
DFT_0565,Zr15V30Nb20Ta35,3.049508,150.68,227.00,112.52,60.36,57.24,150.68,59.11,59.07,59.09,156.78,0.3266,2.5499,52.16,1.0545,4.27,0.999813,0.999898,0,0,Y
DFT_0566,Zr15V40Mo30W15,2.941050,184.26,316.78,118.00,58.44,99.39,184.26,74.82,69.97,72.40,192.04,0.3263,2.5451,59.56,0.5880,5.21,0.999939,0.997943,0,0,Y
DFT_0567,Zr15V40Ta20Mo10W15,2.980540,171.90,275.38,120.16,60.95,77.61,171.90,67.61,66.67,67.14,178.23,0.3272,2.5602,59.21,0.7853,4.80,0.999878,0.999969,0,0,Y
DFT_0568,Zr15V40Nb15W30,2.972362,174.30,284.35,119.27,57.99,82.54,174.30,67.81,65.82,66.81,177.73,0.3301,2.6088,61.29,0.7025,4.61,0.999927,0.999822,0,0,Y
DFT_0569,Zr15Hf5Nb45Mo5W30,3.066621,177.95,289.47,122.19,60.91,83.64,177.95,70.00,68.34,69.17,183.71,0.3279,2.5727,61.28,0.7283,4.89,0.999976,0.999756,0,0,Y
DFT_0570,Zr15Hf5V25Nb5Mo20W30,2.986989,187.96,318.05,122.91,67.02,97.57,187.96,79.24,76.62,77.93,205.40,0.3179,2.4119,55.89,0.6869,6.13,0.999961,0.998810,0,0,Y
DFT_0571,Zr15Hf10V40Mo30W5,2.971862,163.95,268.67,111.59,53.07,78.54,163.95,63.26,60.98,62.12,165.45,0.3318,2.6394,58.52,0.6757,4.19,0.999988,0.999843,0,2,Y
DFT_0572,Zr15Hf15Ta30Mo25W15,3.078215,176.58,264.50,132.62,70.01,65.94,176.58,68.38,68.32,68.35,181.62,0.3286,2.5835,62.61,1.0617,4.80,0.999948,0.999860,2,1,Y
DFT_0573,Zr15Hf15Nb40Ta20W10,3.125417,156.62,230.76,119.55,65.93,55.60,156.62,61.80,61.37,61.59,163.35,0.3262,2.5431,53.62,1.1857,4.48,0.999945,0.999847,0,1,Y
DFT_0574,Zr15Hf15V10Nb50W10,3.101185,148.56,223.21,111.24,54.79,55.99,148.56,55.27,55.26,55.27,147.51,0.3345,2.6881,56.44,0.9787,3.58,0.999988,0.999939,0,0,Y
DFT_0575,Zr15Hf15V15Nb25Mo30,3.052201,156.74,250.44,109.89,52.34,70.27,156.74,59.51,58.29,58.90,157.04,0.3330,2.6610,57.55,0.7448,3.91,0.999998,0.999853,0,0,Y
DFT_0577,Zr15Hf15V20Ta10Mo30W10,3.028724,169.17,273.11,117.20,63.25,77.96,169.17,69.13,68.41,68.77,181.70,0.3210,2.4598,53.95,0.8114,5.29,0.999982,0.999827,0,0,Y
DFT_0578,Zr15Hf15V20Ta25W25,3.061594,168.80,255.55,125.42,74.76,65.06,168.80,70.88,70.55,70.72,186.16,0.3162,2.3869,50.66,1.1491,5.73,0.999958,0.999988,0,0,Y
DFT_0580,Zr15Hf25Nb40Ta20,3.157798,146.14,203.22,117.60,66.58,42.81,146.14,57.08,54.48,55.78,148.45,0.3307,2.6199,51.01,1.5552,3.81,0.999841,0.999942,0,0,Y
DFT_0581,Zr15Hf25V15Ta45,3.131768,150.72,170.45,140.86,66.63,14.80,150.72,45.90,27.75,36.82,102.14,0.3870,4.0933,74.23,4.5035,0.17,0.999600,0.999997,0,0,Y
DFT_0582,Zr15Hf25V40Nb20,3.064285,131.50,185.18,104.66,55.45,40.26,131.50,49.37,48.18,48.77,130.22,0.3350,2.6961,49.21,1.3773,3.09,0.999888,0.999902,0,0,Y
DFT_0583,Zr15Hf30V20Nb25Mo10,3.103658,141.63,202.37,111.26,58.26,45.55,141.63,53.18,52.41,52.80,140.88,0.3342,2.6826,53.00,1.2789,3.42,0.999961,0.999965,0,0,Y
DFT_0584,Zr15Hf35V20Mo30,3.076936,150.92,224.80,113.98,61.56,55.41,150.92,59.10,58.95,59.03,156.65,0.3270,2.5569,52.41,1.1110,4.25,0.999993,0.999958,0,0,Y
DFT_0585,Zr15Hf40Nb15W30,3.133698,166.68,238.84,130.60,77.53,54.12,166.68,68.16,66.09,67.13,177.55,0.3225,2.4830,53.07,1.4325,5.08,0.999988,0.999991,0,0,Y
DFT_0586,Zr15Hf40V15Nb30,3.149969,139.09,185.56,115.85,63.98,34.85,139.09,52.33,47.95,50.14,134.29,0.3391,2.7739,51.87,1.8357,2.99,0.999936,0.999865,0,0,Y
DFT_0587,Zr20Ta30Mo20W30,3.050306,193.57,320.43,130.14,75.72,95.15,193.57,83.49,82.46,82.97,217.80,0.3125,2.3329,54.42,0.7958,6.84,0.999951,0.999352,0,0,Y
DFT_0588,Zr20Ta40Mo30W10,3.062379,180.13,294.72,122.84,69.80,85.94,180.13,76.25,75.47,75.86,199.57,0.3153,2.3745,53.04,0.8121,6.15,0.999966,0.999800,0,0,Y
DFT_0589,Zr20Ta50Mo10W20,3.081730,179.32,282.66,127.65,77.79,77.50,179.32,77.68,77.68,77.68,203.63,0.3107,2.3085,49.86,1.0037,6.59,0.999872,0.999986,0,0,Y
DFT_0590,Zr20Nb25Ta40Mo5W10,3.103006,163.09,251.26,119.00,68.57,66.13,163.09,67.60,67.57,67.59,178.15,0.3179,2.4131,50.43,1.0369,5.39,0.999912,0.999975,0,0,Y
DFT_0591,Zr20Nb30Ta25Mo25,3.081917,163.58,261.42,114.66,56.84,73.38,163.58,63.46,62.47,62.96,167.41,0.3294,2.5980,57.82,0.7747,4.39,0.999969,0.999953,0,0,Y
DFT_0592,Zr20Nb30Ta30W20,3.094540,168.23,262.38,121.16,67.93,70.61,168.23,69.00,68.98,68.99,182.07,0.3196,2.4386,53.23,0.9620,5.39,0.999891,0.999974,0,0,Y
DFT_0593,Zr20Nb50Ta10Mo10W10,3.089853,159.66,252.92,113.03,52.83,69.95,159.66,59.68,58.56,59.12,157.87,0.3352,2.7007,60.20,0.7553,3.80,0.999967,0.999928,0,0,Y
